category,subcategory,n_codes_total,n_codes_matched,match_rate_unweighted,departures_total,departures_matched,match_rate_weighted,share_dep_iata,share_dep_icao,share_dep_name_exact,share_dep_us_by_construction,share_dep_ambiguous_group_inconsistent,share_dep_refused_suffix_collision,share_dep_unmatched,note,share_matched_dep_home0,share_matched_dep_home_lt_001,precision_adjusted_match_rate_home0,precision_adjusted_match_rate_lt001
foreign_by_year,2012,181,130,0.7182320441988951,589284.0,555467.0,0.9426134088147651,0.8969478214239653,0.0005990320456689814,0.0450665553451307,0.0,0.0,0.0023791584363396937,0.05500743274889527,,,,,
foreign_by_year,2013,180,130,0.7222222222222222,613749.0,576418.0,0.9391754609783478,0.8999460691585648,0.0004741351920736327,0.03875525662770937,0.0,0.0,0.0036105965142102063,0.05721394250744197,,,,,
foreign_by_year,2014,183,133,0.726775956284153,639565.0,600686.0,0.9392102444630335,0.8975647510417236,0.0004862680102882428,0.04115922541102155,0.0,0.0,0.00381665663380579,0.05697309890316074,,,,,
foreign_by_year,2015,187,136,0.7272727272727273,689056.0,644133.0,0.9348050085914643,0.8848874402080528,0.0009346119908976919,0.048982956392513814,0.0,0.0,0.004289927088654623,0.06090506431988111,,,,,
foreign_by_year,2016,198,142,0.7171717171717171,743732.0,696568.0,0.9365846837301609,0.8711888153259507,0.0011469185136581458,0.06424894989055198,0.0,0.0,0.005729214286866775,0.05768610198297236,,,,,
foreign_by_year,2017,197,138,0.700507614213198,789665.0,737345.0,0.9337440560237569,0.8652010662749394,0.0014069257216667828,0.06713606402715075,0.0,0.0,0.006478696662508786,0.05977724731373431,,,,,
foreign_by_year,2018,198,135,0.6818181818181818,831517.0,770778.0,0.9269539889142375,0.8627147731194913,0.0014202956764564044,0.06281892011828982,0.0,0.0,0.006548272614991636,0.0664977384707709,,,,,
foreign_by_year,2019,204,134,0.6568627450980392,849483.0,754481.0,0.8881649191331669,0.8399108634310516,0.0015221022669082253,0.046731953435207065,0.0,0.0,0.005173735083574362,0.10666134578325875,,,,,
foreign_by_year,2020,189,126,0.6666666666666666,316436.0,282962.0,0.8942155759774488,0.8665101315905902,0.003327687115246053,0.024377757271612586,0.0,0.0,0.002468113615391422,0.10331631040715974,,,,,
foreign_by_year,2021,169,107,0.6331360946745562,386992.0,336745.0,0.8701601066688717,0.846699673378261,0.005064704179931368,0.01839572911067929,0.0,0.0,0.004028507049241328,0.12581138628188696,,,,,
foreign_by_year,2022,183,112,0.6120218579234973,630867.0,567156.0,0.8990104094840909,0.8802568528707319,0.004603188944737956,0.014150367668621119,0.0,0.0,0.0025932565818151845,0.09839633393409387,,,,,
foreign_by_year,2023,187,115,0.6149732620320856,733811.0,657043.0,0.8953845063647179,0.8793967383972168,0.00449298252547318,0.011494785442027988,0.0,0.0,0.0014186214161412134,0.1031968722191409,,,,,
foreign_by_year,2024,196,116,0.5918367346938775,797560.0,698479.0,0.8757698480365114,0.856062239831486,0.0049826972265409495,0.014724910978484378,0.0,0.0,0.0015810722704247956,0.12264907969306385,,,,,
foreign_by_year,2025,193,116,0.6010362694300518,793320.0,697831.0,0.8796336913225432,0.862665759088388,0.004752180708919478,0.012215751525235718,0.0,0.0,0.0018328039126708012,0.11853350476478597,,,,,
foreign_by_service_class,F,318,220,0.6918238993710691,17322560.0,16114412.0,0.9302558051465835,0.8966371021373284,0.00020822557404910128,0.03341047743520588,0.0,0.0,0.01031452625939815,0.05942966859401844,,,,,
foreign_by_service_class,G,177,112,0.632768361581921,1682577.0,1303233.0,0.7745458305920027,0.7303261604075177,0.0006810981013053192,0.04353857208317955,0.0,0.0,0.009288133618847755,0.2161660357891496,,,,,
foreign_by_service_class,L,279,143,0.5125448028673835,488137.0,224906.0,0.4607436027180894,0.3309931433183717,0.08058598303345167,0.04916447636626603,0.0,0.0,0.041828421119480805,0.4974279761624298,,,,,
foreign_by_service_class,P,162,85,0.5246913580246914,239245.0,160542.0,0.6710359673138414,0.5530982883654831,0.013605300006269723,0.10433237894208866,0.0,0.0,0.0011996070973270079,0.3277644255888315,,,,,
foreign_by_service_class,Q,3,2,0.6666666666666666,3054.0,566.0,0.1853307138179437,0.0006548788474132286,0.0,0.18467583497053044,0.0,0.0,0.0,0.8146692861820564,,,,,
overall_classF,,442,344,0.7782805429864253,41643325.0,40435177.0,0.970988195587168,0.3729781423553475,8.661652257594705e-05,0.013897905606720886,0.5840255311025236,0.0,0.0042905795826822185,0.02472122483014985,,,,0.9547118535803757,0.9463393713158111
foreign_classF,,318,220,0.6918238993710691,17322560.0,16114412.0,0.9302558051465835,0.8966371021373284,0.00020822557404910128,0.03341047743520588,0.0,0.0,0.01031452625939815,0.05942966859401844,,0.04206178916115586,0.06369819761341587,0.8911275816045665,0.871000187039329
us_classF,,124,124,1.0,24320765.0,24320765.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,,,,,
null_carrier_code,,0,0,,15483.0,0.0,0.0,,,,,,,,"2407-row category: UNIQUE_CARRIER genuinely null (missing, not a code); 15483 departures, 0.03% of all departures in t100_raw.parquet. Excluded from overall/foreign match-rate denominator per round-file instruction (neither matched nor a code).",,,,
