nation,year,share_air_time_valid,dep_total,n_rows,covid_flag,match_sensitive,reason
IN,2002,0.0,1068.0,50,False,False,share_air_time_valid < 0.5
IN,2003,0.0,1547.0,74,False,False,share_air_time_valid < 0.5
IN,2004,0.0,2286.0,110,False,False,share_air_time_valid < 0.5
IN,2005,0.0,2815.0,120,False,False,share_air_time_valid < 0.5
IN,2006,0.0,2764.0,120,False,False,share_air_time_valid < 0.5
IN,2007,0.0,3226.0,146,False,False,share_air_time_valid < 0.5
IN,2008,0.0,5330.0,218,False,False,share_air_time_valid < 0.5
IN,2009,0.0,4388.0,150,False,False,share_air_time_valid < 0.5
IN,2010,0.0,4196.0,146,False,False,share_air_time_valid < 0.5
IN,2011,0.0,3628.0,122,False,False,share_air_time_valid < 0.5
IN,2012,0.0,3206.0,114,False,False,share_air_time_valid < 0.5
IN,2013,0.0,2920.0,96,False,False,share_air_time_valid < 0.5
IN,2014,0.0,2888.0,96,False,False,share_air_time_valid < 0.5
IN,2015,0.0,2937.0,98,False,False,share_air_time_valid < 0.5
IN,2016,0.0,2815.0,112,False,False,share_air_time_valid < 0.5
IN,2017,0.0,3270.0,146,False,False,share_air_time_valid < 0.5
IN,2018,0.0,3653.0,164,False,False,share_air_time_valid < 0.5
IN,2019,0.0,3488.0,145,False,False,share_air_time_valid < 0.5
IN,2020,0.0,2003.0,140,True,False,share_air_time_valid < 0.5
IN,2021,0.0,2317.0,202,True,False,share_air_time_valid < 0.5
IN,2022,0.0,3377.0,182,False,False,share_air_time_valid < 0.5
IN,2023,0.0,4614.0,269,False,False,share_air_time_valid < 0.5
IN,2024,0.0,5200.0,310,False,False,share_air_time_valid < 0.5
IN,2025,0.0,4466.0,249,False,False,share_air_time_valid < 0.5
IR,2013,0.0,519.0,16,False,True,share_air_time_valid < 0.5
IR,2014,0.0,13647.0,327,False,True,share_air_time_valid < 0.5
IR,2015,0.0,20864.0,594,False,True,share_air_time_valid < 0.5
IR,2016,0.0,21607.0,889,False,True,share_air_time_valid < 0.5
IR,2017,0.0,20838.0,867,False,True,share_air_time_valid < 0.5
IR,2018,0.0,20788.0,844,False,True,share_air_time_valid < 0.5
IR,2019,0.0,21978.0,935,False,True,share_air_time_valid < 0.5
IR,2020,0.0,7146.0,387,True,True,share_air_time_valid < 0.5
IR,2021,0.0,1986.0,142,True,True,share_air_time_valid < 0.5
IR,2022,0.0,12671.0,791,False,True,share_air_time_valid < 0.5
IR,2023,0.0,16222.0,1011,False,True,share_air_time_valid < 0.5
IR,2024,0.0,18420.0,1084,False,True,share_air_time_valid < 0.5
IR,2025,0.0,16990.0,970,False,True,share_air_time_valid < 0.5
IS,1990,0.0,1012.0,64,False,False,share_air_time_valid < 0.5
IS,1991,0.0,1119.0,69,False,False,share_air_time_valid < 0.5
IS,1992,0.0,1228.0,67,False,False,share_air_time_valid < 0.5
IS,1993,0.0,1417.0,84,False,False,share_air_time_valid < 0.5
IS,1994,0.0,1574.0,94,False,False,share_air_time_valid < 0.5
IS,1995,0.0,1613.0,93,False,False,share_air_time_valid < 0.5
IS,1996,0.0,2020.0,108,False,False,share_air_time_valid < 0.5
IS,1997,0.0,2330.0,121,False,False,share_air_time_valid < 0.5
IS,1998,0.0,2873.0,126,False,False,share_air_time_valid < 0.5
IS,1999,0.0,2902.0,116,False,False,share_air_time_valid < 0.5
IS,2000,0.0,2981.0,114,False,False,share_air_time_valid < 0.5
IS,2001,0.0,2778.0,122,False,False,share_air_time_valid < 0.5
IS,2002,0.0,2278.0,129,False,False,share_air_time_valid < 0.5
IS,2003,0.0,2134.0,121,False,False,share_air_time_valid < 0.5
IS,2004,0.0,2512.0,142,False,False,share_air_time_valid < 0.5
IS,2005,0.0,2809.0,163,False,False,share_air_time_valid < 0.5
IS,2006,0.0,2828.0,153,False,False,share_air_time_valid < 0.5
IS,2007,0.0,2843.0,129,False,False,share_air_time_valid < 0.5
IS,2008,0.0,2144.0,102,False,False,share_air_time_valid < 0.5
IS,2009,0.0,1951.0,87,False,False,share_air_time_valid < 0.5
IS,2010,0.0,2112.0,136,False,False,share_air_time_valid < 0.5
IS,2011,0.0,3101.0,137,False,False,share_air_time_valid < 0.5
IS,2012,0.0,3671.0,159,False,False,share_air_time_valid < 0.5
IS,2013,0.0,4442.0,200,False,False,share_air_time_valid < 0.5
IS,2014,0.0,4850.0,214,False,False,share_air_time_valid < 0.5
IS,2015,0.0,5533.0,218,False,False,share_air_time_valid < 0.5
IS,2016,0.0,6639.0,323,False,False,share_air_time_valid < 0.5
IS,2017,0.0,7467.0,391,False,False,share_air_time_valid < 0.5
IS,2018,0.0,8808.0,515,False,False,share_air_time_valid < 0.5
IS,2019,0.0,7981.0,471,False,False,share_air_time_valid < 0.5
IS,2020,0.0,1237.0,126,True,False,share_air_time_valid < 0.5
IS,2021,0.0,3162.0,328,True,False,share_air_time_valid < 0.5
IS,2022,0.0,7276.0,589,False,False,share_air_time_valid < 0.5
IS,2023,0.0,8882.0,549,False,False,share_air_time_valid < 0.5
IS,2024,0.0,10137.0,632,False,False,share_air_time_valid < 0.5
IS,2025,0.0,10958.0,676,False,False,share_air_time_valid < 0.5
IT,1990,0.0,2805.0,217,False,False,share_air_time_valid < 0.5
IT,1991,0.0,3012.0,308,False,False,share_air_time_valid < 0.5
IT,1992,0.0,3599.0,297,False,False,share_air_time_valid < 0.5
IT,1993,0.0,4146.0,330,False,False,share_air_time_valid < 0.5
IT,1994,0.0,4291.0,310,False,False,share_air_time_valid < 0.5
IT,1995,0.0,4778.0,281,False,False,share_air_time_valid < 0.5
IT,1996,0.0,5123.0,250,False,False,share_air_time_valid < 0.5
IT,1997,0.0,4330.0,217,False,False,share_air_time_valid < 0.5
IT,1998,0.0,3902.0,226,False,False,share_air_time_valid < 0.5
IT,1999,0.0,5268.0,265,False,False,share_air_time_valid < 0.5
IT,2000,0.0,5727.0,241,False,False,share_air_time_valid < 0.5
IT,2001,0.0,6275.0,253,False,False,share_air_time_valid < 0.5
IT,2002,0.0,5015.0,185,False,False,share_air_time_valid < 0.5
IT,2003,0.0,4915.0,221,False,False,share_air_time_valid < 0.5
IT,2004,0.0,5932.0,231,False,False,share_air_time_valid < 0.5
IT,2005,0.0,5797.0,247,False,False,share_air_time_valid < 0.5
IT,2006,0.0,5357.0,239,False,False,share_air_time_valid < 0.5
IT,2007,0.0,5262.0,223,False,False,share_air_time_valid < 0.5
IT,2008,0.0,4909.0,216,False,False,share_air_time_valid < 0.5
